,NaPALIS_ID,Start_Date,End_Date,Type,Name,Local_Purp,Government,Conservati,Vested,Control_Ma,Recorded_A,GlobalID,GIS_AREA,GIS_AREA_H,DOC_FIRE_R,geometry,affected_area,affected_length
677,2791347,1998-11-17,1899-12-30,PPL_AGREEMENT,Huriawa Pa PPL,,,I43061,,,13.32,8921b3f6-ccf5-4806-8396-27dac0702ae8,0.0,0.0,,"POLYGON ((1417969.4762000004 4943053.8964, 1417961.8842000002 4943055.5153, 1417955.2384000001 4943056.9653, 1417947.5952000003 4943057.8913, 1417938.7444000002 4943059.2176, 1417929.1591999996 4943059.3383, 1417921.3229 4943058.639, 1417918.8316000002 4943058.5718, 1417915.3658999996 4943058.2205, 1417911.1475 4943057.5138, 1417907.0378999999 4943056.0169, 1417902.8453000002 4943055.5407, 1417907.2133999998 4943057.9753, 1417937.505971236 4943074.863589874, 1417945.9275130485 4943074.680501847, 1417964.8307120001 4943070.149532313, 1417972.4741486763 4943059.492223413, 1417971.0575435893 4943053.825803133, 1417969.4762000004 4943053.8964))",752.1725869329794,155.5968182885762
582,2892608,2004-01-20,1899-12-30,KAWENATA,Nga Whenua Rahui Kawenata - Arawhata site 2,,,,,,3.4,d90be4ff-ce08-43e8-a9e2-2ce14876dda2,0.0,0.0,,"POLYGON ((1251159.3037999999 5119308.3319, 1251183.9501 5119313.8021, 1251222.3435000004 5119327.5267, 1251268.1851000004 5119312.3975, 1251294.7164000003 5119323.2336, 1251348.8564999998 5119330.9574, 1251369.6661 5119296.4863, 1251379.9642000003 5119309.9309, 1251406.6069999998 5119323.1005, 1251444.8054999998 5119329.2539, 1251504.9664000003 5119337.801, 1251530.8142 5119330.3157, 1251541.5975000001 5119346.6093, 1251572.0619 5119355.634, 1251601.0766000003 5119353.2743, 1251632.2961 5119326.5328, 1251671.7879999997 5119326.4875, 1251678.9244999997 5119319.6535, 1251681.6073140085 5119283.664828696, 1251679.0713574288 5119283.74924788, 1251669.113424249 5119282.80053697, 1251658.986830358 5119284.243742877, 1251648.999862146 5119283.706799873, 1251639.0002388314 5119283.349240894, 1251628.9178675273 5119284.165291183, 1251619.005374759 5119282.5722400285, 1251609.0686751117 5119281.322399061, 1251599.1125181664 5119280.348499505, 1251583.0109246578 5119278.287967628, 1251572.9680474596 5119279.862986368, 1251562.9875324864 5119278.963797329, 1251553.1032961616 5119274.2460653465, 1251543.1396433164 5119272.678001818, 1251533.1369893334 5119272.657247931, 1251523.0592977996 5119275.613240459, 1251513.0291731944 5119276.681897958, 1251503.1375093008 5119272.258792878, 1251493.1615568174 5119271.178614075, 1251483.1452465167 5119271.6998225665, 1251473.1056080312 5119273.145857326, 1251463.0405522531 5119275.600376783, 1251453.038322827 5119275.56303323, 1251443.1513216037 5119270.954461462, 1251433.0843093353 5119273.486842462, 1251422.8763157816 5119281.610973214, 1251412.8404834445 5119282.906532392, 1251396.825338311 5119277.949123363, 1251386.8678822743 5119280.095390547, 1251376.6942391144 5119271.864667282, 1251366.599969858 5119267.443896173, 1251356.7353755368 5119274.0478366045, 1251346.8962735937 5119281.875089491, 1251336.9475470947 5119284.440368058, 1251327.0138560764 5119287.727350209, 1251316.77046788 5119276.148890337, 1251306.6798878005 5119271.904890609, 1251300.549204522 5119274.1217770735, 1251290.526621948 5119277.49864342, 1251280.5426560298 5119275.044377461, 1251270.5405690179 5119275.326406527, 1251260.5338427564 5119276.309923116, 1251250.534527951 5119276.17238551, 1251240.5268925426 5119277.292221228, 1251230.5436710834 5119274.725544977, 1251220.5472229258 5119274.15610167, 1251210.5711480135 5119270.511295145, 1251200.4996315509 5119281.277117029, 1251190.5050500543 5119280.424885832, 1251175.977071515 5119279.918832406, 1251166.058844746 5119283.032491617, 1251157.671085069 5119285.235228548, 1251159.3037999999 5119308.3319))",26299.141352554638,1197.4023167904147
501,3031495,2014-08-03,1899-12-30,COVENANT,Pakawau Inlet  Covenant,,,,,,1.083,037d3c0f-6b6f-47da-9f72-32d4576ff5fa,0.0,0.0,,"POLYGON ((1573423.314759609 5507324.877656199, 1573428.1384045596 5507334.524945974, 1573435.755 5507329.0666, 1573446.6656999998 5507320.179, 1573467.4460000005 5507305.9947, 1573475.796 5507297.2903, 1573479.5807999996 5507291.1968, 1573489.5747999996 5507270.7541, 1573496.6584 5507255.2222, 1573502.5179000003 5507232.8888, 1573506.0232999995 5507212.5322, 1573507.2040999997 5507189.0703, 1573513.5378999999 5507168.178, 1573517.7681 5507155.4184, 1573531.2199999997 5507139.7981, 1573534.1009999998 5507135.5514, 1573533.2257000003 5507135.7962, 1573532.334658184 5507136.045430556, 1573522.8490733758 5507141.578184845, 1573504.8970588276 5507146.395895576, 1573488.371173797 5507151.663962127, 1573480.344437391 5507159.615971062, 1573476.123761897 5507168.769894911, 1573472.6297951743 5507178.153303878, 1573471.7483117238 5507188.361708502, 1573472.30847814 5507194.3971255645, 1573474.1684827597 5507205.805935278, 1573477.7246831853 5507217.860657706, 1573482.1672437687 5507230.2529087, 1573485.1085366593 5507242.073473907, 1573485.9657076993 5507253.100401272, 1573484.0148190178 5507263.058013785, 1573482.7173248956 5507268.474524185, 1573480.7534031442 5507272.516574875, 1573479.440532652 5507278.855320359, 1573475.9016392012 5507289.009947542, 1573470.0590590977 5507297.176708512, 1573462.1261066587 5507303.539671524, 1573454.6452997217 5507310.292793678, 1573450.8374510326 5507312.841000172, 1573445.0201798368 5507315.195572665, 1573440.7207148888 5507314.96820722, 1573431.0177466006 5507317.922950958, 1573423.498209275 5507324.311249121, 1573423.314759609 5507324.877656199))",3885.5308715840115,507.1819031801522
165,2791615,2004-01-18,1899-12-30,COVENANT,Te Parinui o Whiti Covenant - White Bluffs,,,03224,,,41.9,77f2cb33-5eeb-43de-99dd-6704a742ae6e,0.0,0.0,,"MULTIPOLYGON (((1695706.0093999999 5397188.5641, 1695691.8394605597 5397209.641173372, 1695693.183354946 5397212.122492087, 1695694.2363378708 5397223.6217164155, 1695691.2388155924 5397234.491056707, 1695695.7049889197 5397243.7610355755, 1695694.487129581 5397254.249019506, 1695699.9407275247 5397263.307407391, 1695701.6159164573 5397273.175452435, 1695703.2407496297 5397283.054289893, 1695704.1947116416 5397293.076884509, 1695708.6732762856 5397303.56145829, 1695712.8856017804 5397312.854248072, 1695716.5867485907 5397322.264471545, 1695718.7254506738 5397332.033633358, 1695721.6909000801 5397341.612867492, 1695722.320721012 5397351.728665897, 1695724.458287235 5397362.418353714, 1695728.0228858108 5397371.844667295, 1695730.6352204762 5397381.501199434, 1695730.4526676438 5397391.833418639, 1695732.6726959273 5397401.584795007, 1695734.7077851386 5397411.380880991, 1695740.0956148824 5397420.366414304, 1695744.8174480947 5397429.512957769, 1695752.2162794648 5397446.67573591, 1695750.508139433 5397457.9653711105, 1695755.4846670437 5397466.788046524, 1695758.5376620654 5397476.32059527, 1695758.204558857 5397487.1027764045, 1695762.4024229043 5397496.212814857, 1695768.650151888 5397504.566355537, 1695779.6234132275 5397513.00944921, 1695785.2124762384 5397521.549704727, 1695794.9804292885 5397528.4306925945, 1695797.4924111948 5397538.192730185, 1695802.3455323926 5397547.02519545, 1695809.3733146593 5397554.99419462, 1695817.40343805 5397565.962567419, 1695821.0317770832 5397575.303524848, 1695818.8208764126 5397587.358494409, 1695819.750842825 5397597.953625788, 1695822.3312893289 5397607.781630378, 1695826.378235856 5397616.928022953, 1695828.1535511666 5397619.859243998, 1695831.384607858 5397629.323369442, 1695835.6300010055 5397638.430172938, 1695840.6290166364 5397647.2714957865, 1695842.8771368389 5397657.081885158, 1695848.434368084 5397665.726562779, 1695852.975805577 5397674.729077926, 1695857.3302893278 5397685.540349468, 1695860.0893028174 5397695.191281751, 1695864.2488329576 5397704.307057997, 1695866.213348829 5397714.261578384, 1695879.9995199738 5397719.698883196, 1695882.800734644 5397729.333690553, 1695886.4767874854 5397738.634210158, 1695925.471543921 5397723.733774759, 1695923.9075999996 5397720.3723, 1695890.6979999999 5397640.292, 1695841.0667000003 5397534.6608, 1695810.8739999998 5397438.4425, 1695764.5436000004 5397339.2092, 1695747.6745999996 5397278.2434, 1695734.3098999998 5397239.7746, 1695724.2865000004 5397210.922, 1695718.4013999999 5397169.3851, 1695706.0093999999 5397188.5641)), ((1694971.1864 5399262.9388, 1695022.0273000002 5399235.4497, 1695057.1189000001 5399209.2489, 1695089.5053509753 5399182.063462748, 1695086.534885514 5399177.135190402, 1695079.6377152628 5399185.063742328, 1695070.8677026012 5399189.885077989, 1695063.796144966 5399197.524304964, 1695057.41819564 5399206.31429088, 1695050.9879946057 5399212.592049367, 1695042.971851588 5399218.809196705, 1695034.3598931497 5399223.911101882, 1695025.174847922 5399227.940308115, 1695015.9312266924 5399231.859867868, 1695006.502030701 5399235.432071966, 1694995.953882239 5399237.94287375, 1694986.1872126847 5399240.959400784, 1694976.8972428013 5399244.831542634, 1694967.8713488511 5399249.177667308, 1694965.2046093422 5399250.508189489, 1694971.1864 5399262.9388)), ((1695939.5096000005 5398447.8816, 1695961.1542999996 5398376.7701, 1695989.1571000004 5398299.137, 1695994.7045999998 5398228.2288, 1695993.9751000004 5398170.2798, 1695994.120426043 5398164.332333422, 1695906.309345507 5398168.385152287, 1695905.7613981871 5398178.421087216, 1695904.8751942737 5398188.472634152, 1695902.2573666482 5398198.604102346, 1695901.5879107625 5398202.410554921, 1695903.323925851 5398212.465359357, 1695903.14606414 5398222.464419701, 1695896.6492696009 5398242.283674139, 1695894.9867756208 5398252.239492767, 1695896.0667795828 5398262.275190091, 1695900.8813033276 5398272.419659709, 1695902.2563889339 5398282.463950486, 1695903.7044723507 5398285.523676897, 1695904.5809962922 5398295.69863736, 1695904.1365700618 5398305.716341847, 1695905.5891385146 5398315.959879035, 1695907.4873749127 5398326.256471547, 1695907.7735441225 5398336.361152066, 1695907.2096590647 5398349.176469214, 1695906.9319253808 5398359.184647247, 1695906.5071116693 5398369.181511431, 1695904.8017626333 5398379.079872898, 1695902.9961961103 5398388.970525329, 1695901.9369976844 5398398.918589893, 1695900.7432863966 5398408.856309151, 1695898.5006689907 5398418.713342038, 1695894.9640424931 5398428.47083601, 1695891.582051006 5398438.240224983, 1695889.4397020638 5398448.252829763, 1695938.7987892195 5398451.95476153, 1695939.5096000005 5398447.8816)), ((1695995.0597221442 5398125.891651526, 1695904.5235855978 5398118.131411312, 1695904.7628624216 5398128.188588536, 1695902.9175474546 5398138.067086156, 1695994.570256379 5398145.923032209, 1695995.0597221442 5398125.891651526)), ((1695996.1001000004 5398083.3142, 1695988.8487999998 5398019.006, 1695987.8355999999 5397938.5209, 1695980.7077000001 5397883.8718, 1695953.6945000002 5397784.395, 1695942.3869079328 5397760.090941013, 1695891.5601236455 5397779.512556814, 1695893.1346932738 5397789.691585184, 1695897.7535280557 5397798.630579902, 1695900.95439871 5397808.113129866, 1695905.4423764937 5397817.102287199, 1695910.4447490778 5397825.894260661, 1695917.1540930076 5397836.290862782, 1695919.8962804016 5397845.989610046, 1695920.783842735 5397856.4742146125, 1695923.0342060355 5397866.381362673, 1695924.403845279 5397876.661699506, 1695925.8586589408 5397883.812064291, 1695928.7773847252 5397893.398967043, 1695931.9177612693 5397902.902227997, 1695934.471645243 5397912.626806901, 1695931.0292384352 5397894.928661118, 1695933.690521101 5397904.976889097, 1695935.777854383 5397915.015047849, 1695937.0122189522 5397925.03824133, 1695938.5302043392 5397935.066412313, 1695939.248091936 5397941.3423707085, 1695938.203271009 5397951.292205954, 1695936.7524006509 5397961.211740001, 1695934.7713377445 5397971.09170589, 1695933.9138036247 5397981.055518225, 1695931.6246595676 5397988.510156265, 1695927.9171560218 5397998.164284694, 1695925.45833502 5398007.95498815, 1695924.8456815397 5398017.947615427, 1695923.9883940823 5398027.913486239, 1695923.1618088507 5398034.108470659, 1695920.766586139 5398043.851003191, 1695917.094949411 5398053.387056149, 1695914.0426757445 5398063.023300182, 1695911.5888081354 5398072.756344602, 1695908.2837251874 5398082.351693006, 1695995.7777799785 5398096.505143108, 1695996.1001000004 5398083.3142)))",70172.23407568826,3359.737751609624
753,2791890,2008-09-28,1899-12-30,COVENANT,Kawerua Conservation Covenant,,,O06063,,,16.13,3cd1c348-c139-487b-a99f-848a63ee2694,0.0,0.0,,"MULTIPOLYGON (((1639945.2297637402 6056739.259940514, 1639945.6976946474 6056734.754509307, 1639949.4261933635 6056725.294989258, 1639953.4482265678 6056715.892995719, 1639956.674112774 6056706.33497337, 1639960.3284918568 6056696.86092701, 1639962.3591085905 6056687.068654921, 1639965.6746702476 6056677.528208101, 1639961.1209551948 6056666.445539882, 1639959.4904832225 6056655.935769296, 1639958.4043019582 6056645.532668381, 1639960.241878802 6056635.702565297, 1639962.1839213541 6056625.892935391, 1639963.5344596931 6056615.9673822485, 1639966.464133958 6056606.35130861, 1639971.7036445353 6056597.187915827, 1639979.919956748 6056588.607917023, 1639979.2318998377 6056578.28284048, 1639982.7004099214 6056563.892794236, 1639984.3114035393 6056553.989724264, 1639984.5295165568 6056543.975224345, 1639984.2174057434 6056533.918307005, 1639979.7472544566 6056523.528745481, 1639973.4113169988 6056523.021870513, 1639973.5077 6056526.6273, 1639973.8893999998 6056528.6276, 1639975.2797999997 6056536.1485, 1639974.7291 6056542.8944, 1639973.0698999995 6056550.4604, 1639972.7057999996 6056553.7303, 1639970.9281000001 6056561.1249, 1639969.8442000002 6056563.0652, 1639964.9439000003 6056569.0413, 1639963.0061999997 6056571.3995, 1639957.9828000003 6056577.182, 1639954.2132 6056581.5891, 1639949.0398000004 6056587.2318, 1639944.0872 6056592.0048, 1639943.6714000003 6056593.1841, 1639943.6793 6056600.9978, 1639943.0635000002 6056608.0416, 1639942.9594 6056609.3914, 1639942.4112 6056617.0301, 1639942.199 6056619.8482, 1639941.4891999997 6056627.4728, 1639941.4107 6056628.1368, 1639940.3657 6056635.7241, 1639939.2540999996 6056643.2433, 1639937.6997999996 6056648.3245, 1639937.3902000003 6056651.9674, 1639938.3370000003 6056653.4457, 1639939.4392999997 6056654.2633, 1639941.2008999996 6056655.0356, 1639943.8384999996 6056655.6522, 1639946.1758000003 6056655.5992, 1639949.0860000001 6056655.7174, 1639951.3427999998 6056656.2212, 1639953.5316000003 6056657.3685, 1639955.7004000004 6056659.4235, 1639957.7770999996 6056662.4884, 1639959.4837999996 6056666.5197, 1639960.6852000002 6056671.2743, 1639960.9193000002 6056672.3195, 1639959.6529 6056671.2567, 1639958.1061000004 6056669.5648, 1639956.3005999997 6056667.741, 1639954.7533999998 6056666.308, 1639952.9458999997 6056664.743, 1639949.9744999995 6056663.0428, 1639946.613 6056661.2112, 1639943.7676 6056660.0316, 1639940.9168999996 6056660.0167, 1639939.1009999998 6056660.267, 1639937.0225 6056661.1636, 1639935.2016000003 6056662.3197, 1639933.6372999996 6056664.1272, 1639932.9814 6056665.938, 1639932.1914999997 6056668.1376, 1639931.4039000003 6056670.2078, 1639931.6441000002 6056673.9665, 1639932.1460999995 6056677.2103, 1639932.5255000005 6056679.0257, 1639932.7707000002 6056681.8787, 1639933.5295000002 6056685.5114, 1639934.1653000005 6056687.9763, 1639934.7993 6056690.7018, 1639935.3031000001 6056693.685, 1639935.6743 6056697.0568, 1639935.9194999998 6056699.9098, 1639936.0302999998 6056703.4105, 1639936.1415999997 6056707.0386, 1639935.9966000002 6056710.0191, 1639936.1129 6056712.7414, 1639936.0998 6056715.2036, 1639936.0872999998 6056717.7972, 1639936.0747999996 6056720.3889, 1639935.9305999996 6056723.2399, 1639935.9166 6056725.8316, 1639936.1627000002 6056728.5534, 1639936.4123 6056730.3693, 1639936.7876000004 6056732.9649, 1639936.8076 6056735.7413, 1639936.8088999996 6056737.379, 1639940.7109000003 6056738.2506, 1639945.2297637402 6056739.259940514)), ((1639923.3852000004 6056137.9477, 1639925.034617841 6056138.673473128, 1639922.6747042357 6056135.110093358, 1639920.0836107826 6056136.367535749, 1639923.3852000004 6056137.9477)), ((1639941.9529 6056158.6381, 1639942.338786609 6056159.997942259, 1639942.28641042 6056158.938702136, 1639941.911577295 6056158.57242489, 1639941.9529 6056158.6381)), ((1639947.841 6056181.8254, 1639949.5295000002 6056187.5169, 1639949.7199999997 6056188.2573, 1639949.8083929224 6056188.634382609, 1639956.573803429 6056185.351168739, 1639950.365629892 6056177.2486073645, 1639946.6144100125 6056173.540879124, 1639947.841 6056181.8254)), ((1639954.3302999996 6056215.578, 1639955.6782999998 6056222.3819, 1639957.3230999997 6056230.7742, 1639958.0376000004 6056235.6585, 1639959.0203999998 6056244.1554, 1639959.8584000003 6056252.6715, 1639960.5661000004 6056259.7186, 1639977.468860695 6056262.463006249, 1639978.1237733248 6056256.655901769, 1639979.585084317 6056246.350436086, 1639973.906136822 6056237.053007556, 1639978.3700471048 6056226.323646767, 1639976.4967817895 6056216.488945429, 1639971.503421268 6056207.094727484, 1639953.4896729856 6056209.637845003, 1639954.3302999996 6056215.578)), ((1639940.1497 6056423.7147, 1639941.9276 6056431.1618, 1639943.7528999997 6056437.764, 1639945.2978999997 6056441.0714, 1639948.9214000003 6056447.8355, 1639950.3521999996 6056451.9236, 1639952.3592999997 6056459.3326, 1639952.6633000001 6056460.4922, 1639954.6342000002 6056467.8904, 1639955.7176 6056471.5751, 1639958.5729 6056478.668, 1639960.2854000004 6056481.2926, 1639964.7364999996 6056487.541, 1639966.6830000002 6056491.538, 1639969.1513 6056498.8138, 1639969.3849006388 6056499.781874253, 1639975.040593657 6056497.41186958, 1639967.1265560861 6056489.885715049, 1639968.573826547 6056478.436726286, 1639963.0270508097 6056469.91857635, 1639960.2998715965 6056460.218881179, 1639952.1198444453 6056452.804189364, 1639951.7914420012 6056442.09929252, 1639953.093126717 6056430.71131154, 1639945.8693049639 6056422.895923717, 1639939.307482963 6056419.901819386, 1639940.1497 6056423.7147)))",5769.986148170949,909.8502358275211
562,2791852,1990-12-31,1899-12-30,COVENANT,Ninety Mile Beach Conservation Covenant,,,N02007,,,107.298,35d2109d-c618-4325-bac6-7f3ac5cff699,0.0,0.0,,"MULTIPOLYGON (((1582119.2474999996 6172615.9852, 1582114.6804863529 6172622.477074116, 1582134.9766763025 6172629.978558901, 1582120.4315117884 6172614.256947081, 1582119.2474999996 6172615.9852)), ((1581546.0681999996 6173228.9079, 1581519.9825999998 6173253.8596, 1581507.7066206865 6173267.740615914, 1581508.861881938 6173267.542909039, 1581520.0450626337 6173264.287439506, 1581529.2776718235 6173259.217800403, 1581537.7086943246 6173253.402630488, 1581545.6741482047 6173247.154452674, 1581552.9536697967 6173240.268302941, 1581558.195460054 6173231.486924072, 1581562.7018216075 6173222.021545091, 1581563.7889466574 6173213.055757638, 1581546.0681999996 6173228.9079)), ((1581361.6841000002 6173421.3842, 1581331.2317000004 6173448.6589, 1581305.2611999996 6173478.055, 1581281.4627 6173505.1895, 1581259.7840999998 6173527.8411, 1581235.9899000004 6173554.9773, 1581209.9804999996 6173582.1609, 1581186.0957000004 6173604.865, 1581164.4732999997 6173629.7378, 1581147.2824 6173654.5161, 1581136.5927 6173672.4973, 1581126.0011 6173694.9141, 1581113.2416000003 6173719.5961, 1581100.5327000003 6173746.4977, 1581089.7984999996 6173762.2627, 1581076.8032999998 6173775.8571, 1581086.6441000002 6173787.3782, 1581099.5380999995 6173802.4429, 1581108.7057004746 6173813.1604400305, 1581110.46726148 6173812.989862224, 1581120.7532492257 6173808.929443495, 1581126.8800239237 6173804.592307155, 1581128.6733649513 6173794.261619415, 1581123.9327394536 6173797.120588533, 1581128.7739797684 6173793.682019529, 1581129.4686915744 6173789.680075321, 1581129.3652136642 6173793.2620861195, 1581134.339416741 6173789.72907817, 1581131.6473000422 6173790.716759866, 1581136.2006252117 6173788.40712484, 1581139.914279056 6173785.76944231, 1581139.4098279886 6173786.779284335, 1581149.9214766382 6173781.447340974, 1581139.0619870243 6173787.996465229, 1581141.385549413 6173787.143998454, 1581152.5053674746 6173785.504001567, 1581164.1724356536 6173784.62958776, 1581178.4534694294 6173787.41201708, 1581190.2705115748 6173786.747393153, 1581202.3858721426 6173786.50014241, 1581212.485088839 6173783.432361204, 1581221.7168785278 6173779.151081056, 1581227.8783737223 6173770.574570195, 1581234.2334083002 6173762.268813914, 1581237.4534808525 6173749.577359388, 1581232.4613964974 6173725.397395001, 1581232.134174312 6173707.7434037095, 1581228.3387969735 6173685.2375747375, 1581225.6131723174 6173664.228319645, 1581226.2067576852 6173647.862504747, 1581230.042159531 6173636.031873599, 1581237.665743477 6173629.500771906, 1581246.4918475333 6173624.651952261, 1581258.1521725324 6173623.768104989, 1581272.605832991 6173626.792032779, 1581287.6853804102 6173630.691553743, 1581300.4871821767 6173631.404576891, 1581313.2197423703 6173632.0207619965, 1581325.482078301 6173631.979106198, 1581337.4833670536 6173631.572254859, 1581347.9013347637 6173628.95039477, 1581359.9140215563 6173628.559488873, 1581371.0570762581 6173626.951999204, 1581377.295841849 6173618.483586826, 1581379.191746818 6173603.939669847, 1581379.824930485 6173587.629236643, 1581364.2761122691 6173548.680799104, 1581363.2934677831 6173530.109895771, 1581362.056930035 6173511.183804966, 1581362.0182043617 6173493.933409838, 1581363.7645550412 6173479.180271827, 1581365.0945466466 6173463.844662562, 1581366.5343577669 6173448.662686818, 1581367.6127603727 6173432.975113663, 1581369.6688628467 6173418.655301637, 1581371.995981598 6173409.633472356, 1581361.6841000002 6173421.3842)), ((1581138.6896274625 6173788.221027261, 1581139.0619870243 6173787.996465229, 1581138.743420676 6173788.113340606, 1581138.6896274625 6173788.221027261)), ((1581138.743420676 6173788.113340606, 1581139.4098279886 6173786.779284335, 1581136.2006252117 6173788.40712484, 1581134.339416741 6173789.72907817, 1581138.743420676 6173788.113340606)), ((1581129.3480939642 6173793.854704882, 1581129.3652136642 6173793.2620861195, 1581128.7739797684 6173793.682019529, 1581128.6733649513 6173794.261619415, 1581129.3480939642 6173793.854704882)), ((1581124.9458725625 6173815.734144344, 1581138.6896274625 6173788.221027261, 1581129.3480939642 6173793.854704882, 1581129.0829535313 6173803.032855971, 1581126.8800239237 6173804.592307155, 1581124.9458725625 6173815.734144344)))",41161.617909618966,1516.0274929848472
363,3142663,2015-12-16,1899-12-30,COVENANT,Taurangatira Pa Conservation Covenant (Te Aupouri),,,,,,12.077,c56f75c4-89ac-4927-b44e-3f8a5dce5acb,0.0,0.0,,"POLYGON ((1572665.6874000002 6181500.3972, 1572667.6146999998 6181504.1564, 1572668.9648000002 6181507.049, 1572670.7978999997 6181509.555, 1572672.0510999998 6181511.5786, 1572674.6350999996 6181510.0542, 1572687.6845210062 6181502.371998811, 1572688.227702387 6181495.973751751, 1572685.1595710847 6181486.04815631, 1572665.0411442288 6181499.065961677, 1572665.6874000002 6181500.3972))",326.1370107380646,73.2974685221964
256,2791916,2009-12-06,1899-12-30,COVENANT,Te Humenga Conservation Covenant,,,S28025,,,21.601,3a13d1c7-98c3-4d2e-853a-eed24f3823dd,0.0,0.0,,"MULTIPOLYGON (((1783340.8208088537 5401110.123315088, 1783339.1368113314 5401103.742658673, 1783336.39374735 5401094.097833481, 1783332.9426490685 5401081.031117, 1783330.454346413 5401071.199724092, 1783327.9493553687 5401061.375686021, 1783325.82058809 5401051.385854422, 1783323.8129075353 5401041.342662574, 1783321.739343116 5401031.328506348, 1783317.7936997684 5401022.139329956, 1783313.8466572084 5401012.950772222, 1783305.3429398367 5401005.770240707, 1783298.3261074442 5400997.934471733, 1783294.8615795127 5400988.53328043, 1783291.403203915 5400979.129377931, 1783285.6717659284 5400970.727165093, 1783280.5529001902 5400962.055002887, 1783273.8625698735 5400954.075352693, 1783271.9057904556 5400952.127983383, 1783340.733 5401110.1656, 1783340.8208088537 5401110.123315088)), ((1783703.4118 5400137.9512, 1783612.0752999997 5400197.7261, 1783519.1394999996 5400249.0745, 1783313.0320278138 5400360.850820564, 1783313.3833199828 5400360.847392971, 1783326.1153720752 5400362.876987671, 1783337.8271014197 5400363.145075004, 1783346.4379121452 5400358.059696195, 1783354.9459374687 5400352.796871633, 1783362.108866466 5400345.211841279, 1783369.8202856337 5400338.573739331, 1783380.178748813 5400336.505537624, 1783405.4012965597 5400361.312770439, 1783415.133929855 5400358.1906305365, 1783424.820628588 5400354.988036374, 1783437.6214627218 5400357.239289657, 1783448.318580437 5400355.806265011, 1783457.349380675 5400351.454988843, 1783463.4191398225 5400341.917965808, 1783474.5018318058 5400341.160197081, 1783484.9931858983 5400339.3668138925, 1783495.9237246392 5400338.342594776, 1783505.0347877895 5400334.131876856, 1783508.075920302 5400319.290741681, 1783511.887428223 5400305.798793729, 1783519.79690847 5400299.4837246165, 1783528.6230183458 5400294.7739615245, 1783536.106426718 5400287.712686525, 1783545.0773385703 5400283.2565183975, 1783553.8592291037 5400278.4693210935, 1783561.7339778964 5400272.0934176035, 1783569.9304967446 5400266.281029424, 1783579.1473191876 5400262.255530089, 1783590.3548972632 5400261.716494691, 1783601.1949711964 5400260.533832866, 1783612.531151588 5400260.220004387, 1783621.1724212961 5400255.186525177, 1783632.2500601665 5400254.419915805, 1783645.194735539 5400256.923100081, 1783656.4574617948 5400256.480638866, 1783663.0104324776 5400247.789864832, 1783669.3867545575 5400238.789732837, 1783669.6548006225 5400238.337929355, 1783703.4118 5400137.9512)), ((1783249.0777302226 5400417.829468684, 1783253.265283408 5400416.668408527, 1783258.6151729326 5400405.953329948, 1783258.9709174095 5400405.300313764, 1783249.0777302226 5400417.829468684)), ((1783215.2251000004 5400821.9806, 1783219.7288636568 5400832.32191819, 1783219.4291194454 5400830.117465919, 1783219.5757576416 5400819.557124231, 1783218.1269571867 5400809.514220828, 1783216.7781621104 5400799.438884596, 1783215.53180601 5400789.330323508, 1783215.0367566717 5400781.269700288, 1783213.8224808157 5400771.229341559, 1783212.405823259 5400761.245064505, 1783210.9776817244 5400751.263968423, 1783209.3990474977 5400741.3245770885, 1783206.332286563 5400731.797558302, 1783202.9057159903 5400722.370245082, 1783203.1010929213 5400711.939259687, 1783203.295383715 5400701.508575272, 1783203.6254792546 5400691.040256659, 1783203.3569510197 5400680.737823234, 1783201.499348494 5400670.875737364, 1783199.1977920523 5400661.136673248, 1783195.8017831466 5400651.700891133, 1783192.4842675903 5400642.243357849, 1783192.3261941494 5400642.0156338755, 1783215.2251000004 5400821.9806)))",21167.09284647538,1755.00220356612
317,2791684,2003-12-18,1899-12-30,COVENANT,Whitecliffs Conservation Covenant,,,78049,,,1310.7777,3552f74b-2383-4e78-b10c-5e0da76d96e0,0.0,0.0,,"POLYGON ((1733089.5643174658 5695421.699325407, 1733090.8548135252 5695416.904166105, 1733086.3944470265 5695418.473554373, 1733089.5643174658 5695421.699325407))",9.681439265071008,14.216759050819217
686,2791867,2008-09-28,1899-12-30,COVENANT,Ureti Conservation Covenant,,,O07013,,,8.545,6dd9c845-c3a1-4720-ae78-2d27bd897373,0.0,0.0,,"MULTIPOLYGON (((1654557.5340960093 6037876.748804221, 1654560.8602944778 6037876.341574023, 1654573.8677587693 6037875.653479079, 1654575.8152271176 6037864.584109684, 1654573.9517 6037865.8438, 1654571.2200999996 6037871.0034, 1654567.3339999998 6037875.05, 1654561.0905999998 6037874.6079, 1654557.159 6037876.3883, 1654557.5340960093 6037876.748804221)), ((1654594.6445000004 6037851.8219, 1654583.4598000003 6037859.4166, 1654577.467189941 6037863.4674307, 1654591.3777329694 6037865.118107937, 1654599.8819887622 6037859.5804028995, 1654604.0616078104 6037849.3853990445, 1654601.9395985943 6037847.100158359, 1654594.6445000004 6037851.8219)))",250.99771150778977,120.1452536648954
