,id,name,main_trail,locality,walk,bike,off_road_v,mobility_a,horse,dog_access,dog_weblin,conditions,status,descriptio,weblink,image_link,managed_by,data_suppl,spatial_ac,date_modif,local_auth,geometry,affected_area,affected_length
14508,,Waiheke Island Loop,Waiheke Island,,99.0,99.0,99.0,,99.0,,,,,,,,NZ Transport Agency,NZ Transport Agency,,,,"LINESTRING (1779996.3841394712 5926463.124131603, 1779995.2497534964 5926463.841407658)",0.0,1.3421313192791333
9399,3554690,,,,99.0,99.0,,,,,,,,,,,,Land Information New Zealand,,,,"MULTILINESTRING ((1779678.3767893042 5927241.569360954, 1779686.6937999995 5927245.3574, 1779653.5455 5927263.7537, 1779638.5380999995 5927266.2232, 1779584.0412999997 5927310.7141, 1779559.7078 5927329.8103, 1779549.6891 5927337.6687, 1779548.6831 5927338.4585, 1779478.1728999997 5927393.8072, 1779468.7429498418 5927401.94855197), (1779459.693779975 5927409.761157094, 1779456.4158456044 5927412.591163297), (1779406.7777182374 5927469.562614363, 1779351.426 5927561.2431, 1779301.0768999998 5927681.1387, 1779283.2824 5927773.5999, 1779287.9907 5927866.1111, 1779310.2462999998 5927936.1468, 1779317.7170000002 5927948.6643))",0.0,795.9678220069903
28814,,Waikare Road,,,,,,,,,,,Proposed,,,,,Auckland Council,,,Auckland Council,"LINESTRING (1779181.5715899656 5927686.374630357, 1779187.3880000003 5927672.3183, 1779188.4388723525 5927662.33556867)",0.0,25.250091744558645
5927,4285,Oreti Beach ICC,,,3.0,3.0,,,99.0,,,,open,,http://www.teararoa.org.nz/southland/oreti-beach-track,,10,Kim Ollivier,,,Invercargill City,"MULTILINESTRING ((1231311.6325310275 4850352.263467716, 1231335.9976339897 4850309.965038372), (1232975.5096135268 4847558.88657475, 1233009.0806711093 4847494.117761124), (1233014.786426406 4847483.109618157, 1233110.1101699208 4847299.201030749), (1233114.7315844477 4847290.284911993, 1233116.586818819 4847286.705598802), (1233121.1918770599 4847277.821036312, 1233173.240328233 4847177.403692436), (1233177.8445203372 4847168.520800989, 1233180.4590658976 4847163.476544825), (1233185.0703158327 4847154.580036668, 1233237.1483558153 4847054.105606951), (1233241.7505995976 4847045.226474411, 1233244.5654124354 4847039.795841562), (1233249.1842173685 4847030.884757508, 1233299.6108999997 4846933.5963, 1233300.6240949426 4846931.066322161), (1233377.0950796804 4846740.116003971, 1233415.5268887985 4846644.150636127), (1233419.247654603 4846634.859773498, 1233421.4721341284 4846629.305182111), (1233425.1963648666 4846620.005667441, 1233519.37110669 4846384.8485424435))",0.0,1045.9924713041112
10426,,Catlins Coast,,,99.0,99.0,99.0,,99.0,,,,,,,,NZ Transport Agency,NZ Transport Agency,,,,"LINESTRING (1352260.8004662523 4859694.438628658, 1352344.7956999997 4859657.1525, 1352418.7830999997 4859618.0481, 1352455.7397963237 4859578.1888245065)",0.0,229.94067109164968
12620,10000760,Te Araroa Trail,Te Araroa Trail,,99.0,99.0,,,,,,,,,,,,Land Information New Zealand,,,,"MULTILINESTRING ((1217346.8426536478 4854377.929493215, 1217361.551429737 4854393.2250192035), (1220475.1588095995 4856383.07991468, 1220482.6914709595 4856384.340935962), (1226744.1445954896 4854774.242509029, 1226760.679858677 4854764.084435245), (1226764.5156153864 4854761.7280228175, 1226788.6481843602 4854746.902711998), (1226802.0771715287 4854738.652910289, 1226837.764171003 4854716.729390253), (1226839.1259231542 4854715.892827892, 1226868.4564610766 4854697.874259638), (1226887.3333283116 4854686.277673118, 1226896.792204714 4854680.466821284), (1227125.896110334 4854542.105114283, 1227184.4738363118 4854507.076458569), (1227615.6302733866 4854245.216495094, 1227817.6850119536 4854096.861943895), (1227832.758806127 4854085.794319422, 1227856.1500818033 4854068.619754601), (1228037.320363263 4853933.9863298135, 1228074.8714406462 4853901.701230745), (1228311.1138470434 4853698.588296941, 1228366.057750967 4853651.34945574), (1228394.6530728103 4853626.764201123, 1228411.275216398 4853612.47306516), (1228930.296438995 4853123.977090027, 1228944.1056209877 4853108.7025550185), (1231311.6322139173 4850352.263718228, 1231335.9975676865 4850309.964853476), (1232976.1364699292 4847558.451497035, 1233008.9517101224 4847495.062303593), (1233015.3556568765 4847482.691800827, 1233110.2864069152 4847299.314088448), (1233114.9035206535 4847290.39521069, 1233116.769075053 4847286.791519599), (1233121.3695444146 4847277.90479378, 1233173.3616581724 4847177.471637203), (1233177.9614253484 4847168.586267795, 1233180.5792683014 4847163.529381045), (1233185.1858614318 4847154.630825942, 1233237.208842965 4847054.1380420895), (1233241.8066210942 4847045.256514924, 1233244.6214845027 4847039.819043796), (1233249.2355737593 4847030.906008428, 1233299.6108999997 4846933.596, 1233300.6240628248 4846931.066102803), (1233377.0949460394 4846740.1160715, 1233415.5268041212 4846644.150598168), (1233419.2475704772 4846634.859735787, 1233421.4720469292 4846629.305153045), (1233425.1962782417 4846620.005638566, 1233519.3712646132 4846384.847944034))",0.0,1720.2171276278093
6080,4220,Colac Foreshore Road,,,3.0,3.0,,,99.0,,,,open,,http://www.teararoa.org.nz/southland/colac-bay-track,,10,Kim Ollivier,,,Southland District,"LINESTRING (1206953.670378634 4853094.168412353, 1207258.3157779668 4853259.439700931)",0.0,346.58825450810065
5946,4230,Colac Bay Beach,,,3.0,3.0,,,99.0,,,,open,,http://www.teararoa.org.nz/southland/colac-bay-track,,10,Kim Ollivier,,,Southland District,"MULTILINESTRING ((1207687.5463894322 4853462.359711956, 1207907.7836999996 4853532.8271, 1207949.6777409166 4853543.9167076275), (1207951.8840615158 4853544.500734119, 1207970.9559100461 4853549.549168509), (1207982.9095268107 4853552.713363625, 1207997.3810783962 4853556.544071414), (1208013.0090914245 4853560.680901585, 1208022.8537431224 4853563.286840811), (1208045.9885492793 4853569.410764815, 1208047.0932852465 4853569.70319515))",0.0,320.59820691297347
7818,3517653,Te Araroa Trail,Te Araroa Trail,,99.0,99.0,,,,,,,,,,,,Land Information New Zealand,,,,"MULTILINESTRING ((1207689.732786922 4853463.551183659, 1207732.4055000003 4853476.7126, 1207907.7835999997 4853532.8268, 1207949.6781931433 4853543.916551236), (1207951.8819702938 4853544.499904327, 1207970.9565595232 4853549.549063028), (1207982.9092623119 4853552.713015475, 1207997.3817915868 4853556.543981178), (1208013.008613481 4853560.680495091, 1208022.8544146356 4853563.286737981), (1208045.9882342208 4853569.4103994155, 1208047.093692786 4853569.703020958))",0.0,318.1613408241187
6834,F485__511279,Monkey Island Viewpoint,,,3.0,99.0,99.0,,99.0,,,,,MONKEY ISLAND VIEWPOINT,,,DOC,DOC,,,,"LINESTRING (1193803.9819 4859052.9313, 1193774.0336999996 4859121.3976)",0.0,74.729705732655
